"","event_type","xg","secondary_type","event_goalie_id","goal"
"1829","SHOT",0.00710191018879414,"wrist",8476999,0
"1844","GOAL",0.00188104412518442,"wrist",8482821,1
"1852","SHOT",0.000470864120870829,"wrist",8482821,0
"1856","SHOT",0.000495429907459766,"wrist",8482821,0
"1863","SHOT",0.000626883003860712,"wrist",8476999,0
"1864","SHOT",0.0997230857610703,"tip-in",8476999,0
"1870","SHOT",0.184544563293457,"backhand",8482821,0
"1875","SHOT",0.00713992165401578,"wrist",8482821,0
"1876","SHOT",0.00129309203475714,"wrist",8482821,0
"1899","SHOT",0.00129540218040347,"wrist",8476999,0
"1900","SHOT",0.0034082003403455,"wrist",8476999,0
"1904","SHOT",0.000744242046494037,"wrist",8476999,0
"1909","SHOT",0.000407267652917653,"slap",8476999,0
"1913","SHOT",0.00256341649219394,"wrist",8482821,0
"1915","SHOT",0.144832029938698,"tip-in",8482821,0
"1922","SHOT",0.0312171336263418,"wrap-around",8482821,0
"1926","SHOT",0.000380516314180568,"slap",8476999,0
"1930","SHOT",0.00053268886404112,"wrist",8482821,0
"1933","SHOT",0.00169910967815667,"wrist",8482821,0
"1939","SHOT",0.00172558717895299,"wrist",8476999,0
"1940","SHOT",0.00863333512097597,"wrist",8476999,0
"1943","SHOT",0.000874191056936979,"wrist",8482821,0
"1947","SHOT",0.00238538742996752,"wrist",8482821,0
"1948","SHOT",0.0965093225240707,"tip-in",8482821,0
"1949","SHOT",0.0020185864996165,"wrist",8482821,0
"1956","GOAL",0.87404066324234,"wrist",NA,1
"1965","SHOT",0.000757460715249181,"snap",8474593,0
"1966","SHOT",0.00677534844726324,"snap",8474593,0
"1971","SHOT",0.00822917930781841,"wrist",8474593,0
"1980","SHOT",0.00356444763019681,"wrist",8476945,0
"1983","SHOT",0.0010997656499967,"wrist",8476945,0
"1989","SHOT",0.00211781356483698,"slap",8474593,0
"1992","SHOT",0.00306012155488133,"slap",8474593,0
"1995","SHOT",0.00787919666618109,"wrist",8474593,0
"1998","SHOT",0.0072767254896462,"snap",8474593,0
"1999","SHOT",0.0230671986937523,"poke",8474593,0
"2000","SHOT",0.00528230564668775,"wrist",8474593,0
"2002","SHOT",0.117673516273499,"backhand",8474593,0
"2016","SHOT",0.00972548499703407,"wrist",8474593,0
"2019","SHOT",0.000161946794833057,"wrist",8476945,0
"2031","SHOT",0.410098135471344,"backhand",8476945,0
"2039","SHOT",0.00610799482092261,"wrist",8476945,0
"2042","GOAL",0.0149018131196499,"wrist",8476945,1
"2050","GOAL",0.000836052058730274,"wrist",8474593,1
"2062","SHOT",0.00160137074999511,"snap",8476945,0
"2075","GOAL",0.000537071842700243,"wrist",8476945,1
"2077","SHOT",0.00580673711374402,"snap",8474593,0
"2080","SHOT",0.00308802840299904,"snap",8474593,0
"2083","SHOT",0.00444062147289515,"wrist",8474593,0
"2101","SHOT",0.0017467993311584,"wrist",8474593,0
"2109","SHOT",0.00334241427481174,"slap",8474593,0
"2112","SHOT",0.0892154648900032,"deflected",8474593,0
"2113","SHOT",0.00795231759548187,"wrist",8474593,0
"2129","SHOT",0.253014355897903,"tip-in",8474593,0
"2136","SHOT",0.00667898403480649,"wrist",8476945,0
"2139","SHOT",0.00740366242825985,"wrist",8476945,0
"2142","SHOT",0.00488646980375051,"wrist",8476945,0
"2147","SHOT",0.000489573751110584,"wrist",8476945,0
"2152","GOAL",0.12171334028244,"deflected",8474593,1
"2166","SHOT",0.00647283904254436,"snap",8474593,0
"2169","SHOT",0.00715805636718869,"snap",8474593,0
"2170","SHOT",0.00302996463142335,"slap",8474593,0
"2173","SHOT",0.00658635701984167,"snap",8474593,0
"2174","GOAL",0.00340453535318375,"wrist",8476945,1
"2180","SHOT",0.000591561140026897,"wrist",8474593,0
"2192","SHOT",0.000373777817003429,"wrist",8476945,0
"2202","SHOT",0.294547259807587,"tip-in",8474593,0
"2204","SHOT",0.0105582168325782,"wrist",8474593,0
"2205","SHOT",0.0156644433736801,"wrist",8474593,0
"2210","SHOT",0.00100165558978915,"wrist",8476945,0
"2211","SHOT",0.0003542834892869,"wrist",8474593,0
"2213","SHOT",0.133040189743042,"deflected",8474593,0
"2223","SHOT",0.000375188334146515,"wrist",8474593,0
"2225","SHOT",0.00177353678736836,"wrist",8474593,0
"2227","SHOT",0.112798936665058,"backhand",8476945,0
"2236","SHOT",0.000843307352624834,"wrist",8476945,0
"2244","SHOT",0.00042268933611922,"slap",8474593,0
"2249","SHOT",0.0030710396822542,"wrist",8476945,0
"2252","SHOT",0.000964252161793411,"snap",8474593,0
"2256","SHOT",0.0168428849428892,"tip-in",8476945,0
"2277","SHOT",0.000426171522121876,"wrist",8474593,0
"2279","GOAL",0.00475357985123992,"wrist",8474593,1
"2288","SHOT",0.000349411275237799,"snap",8476945,0
"2294","GOAL",0.0041532670147717,"wrist",8476945,1
"2301","GOAL",0.88100802898407,"wrist",NA,1
"2310","SHOT",0.000505425734445453,"wrist",8475660,0
"2317","SHOT",0.00034870149102062,"wrist",8480382,0
"2320","SHOT",0.000594193290453404,"wrist",8480382,0
"2322","SHOT",0.0496196374297142,"wrap-around",8480382,0
"2329","SHOT",0.00728088803589344,"backhand",8475660,0
"2341","SHOT",0.00238605029881001,"slap",8480382,0
"2343","SHOT",0.013733166269958,"wrist",8480382,0
"2348","SHOT",0.00256907986477017,"wrist",8480382,0
"2352","GOAL",0.00339775043539703,"snap",8475660,1
"2368","SHOT",0.0026330235414207,"slap",8475660,0
"2376","SHOT",0.00576430046930909,"wrist",8475660,0
"2381","SHOT",0.0211126189678907,"wrist",8480382,0
"2387","SHOT",0.00429142406210303,"wrist",8480382,0
"2390","SHOT",0.00118933257181197,"wrist",8475660,0
"2397","SHOT",0.0026055162306875,"snap",8475660,0
"2399","SHOT",0.00765022821724415,"snap",8475660,0
"2404","SHOT",0.00545105570927262,"wrist",8480382,0
"2413","SHOT",0.00168484321329743,"wrist",8480382,0
"2414","SHOT",0.000609875831287354,"slap",8480382,0
"2416","SHOT",0.00159688969142735,"snap",8475660,0
"2423","SHOT",0.00204626517370343,"wrist",8480382,0
"2428","SHOT",0.00686714937910438,"backhand",8480382,0
"2434","SHOT",0.0452439971268177,"backhand",8480382,0
"2438","GOAL",0.00270695122890174,"snap",8475660,1
"2441","SHOT",0.000958441523835063,"snap",8475660,0
"2444","SHOT",0.000418909679865465,"wrist",8475660,0
"2447","SHOT",0.00349926762282848,"backhand",8480382,0
"2451","GOAL",0.00125049648340791,"wrist",8475660,1
"2454","SHOT",0.000439302384620532,"wrist",8480382,0
"2460","SHOT",0.00618525920435786,"wrist",8475660,0
"2461","SHOT",0.0127906454727054,"backhand",8475660,0
"2463","SHOT",0.00065473432186991,"snap",8475660,0
"2470","GOAL",0.132880195975304,"tip-in",8480382,1
