"","event_type","xg","secondary_type","event_goalie_id","goal","goalie_id_stan"
"168265","SHOT",-0.374090693461832,"wrist",8475809,0,14
"168269","SHOT",-0.386377511636206,"snap",8475852,0,17
"168282","SHOT",-0.381426684576006,"wrist",8475852,0,17
"168283","SHOT",-0.388612847075682,"wrist",8475852,0,17
"168290","SHOT",-0.38912740541837,"snap",8475852,0,17
"168302","SHOT",-0.381596567251289,"wrist",8475809,0,14
"168307","SHOT",-0.358554344896406,"snap",8475809,0,14
"168311","SHOT",-0.37769193925234,"wrist",8475852,0,17
"168314","SHOT",-0.370498938925791,"wrist",8475852,0,17
"168327","SHOT",-0.362068377916011,"wrist",8475852,0,17
"168333","SHOT",-0.386657152875522,"wrist",8475809,0,14
"168336","GOAL",3.25406171180463,"tip-in",8475852,1,17
"168338","GOAL",-0.370117288516976,"snap",8475852,1,17
"168350","SHOT",-0.385488231397801,"wrist",8475809,0,14
"168354","SHOT",4.09691286875972,"tip-in",8475852,0,17
"168357","SHOT",10.6088431280278,"tip-in",8475852,0,17
"168363","SHOT",-0.387503367423701,"wrist",8475809,0,14
"168367","SHOT",-0.383447185633164,"wrist",8475852,0,17
"168370","SHOT",0.568128971622663,"tip-in",8475852,0,17
"168371","SHOT",-0.383720174267942,"wrist",8475852,0,17
"168376","SHOT",-0.388547348950106,"wrist",8475809,0,14
"168384","SHOT",-0.228343196898982,"wrist",8475852,0,17
"168387","SHOT",-0.385677023861933,"slap",8475852,0,17
"168388","SHOT",3.19177712616589,"backhand",8475852,0,17
"168391","SHOT",-0.356009737349321,"wrist",8475809,0,14
"168398","SHOT",-0.389239115447289,"wrist",8475809,0,14
"168408","SHOT",-0.387987394024564,"wrist",8475809,0,14
"168411","SHOT",-0.386826991918754,"slap",8475809,0,14
"168412","SHOT",-0.311875304834437,"wrist",8475852,0,17
"168413","GOAL",-0.246390084079152,"wrist",8475852,1,17
"168418","SHOT",-0.36480696843028,"wrist",8475809,0,14
"168419","SHOT",-0.218161495162317,"wrist",8475809,0,14
"168427","SHOT",0.584132893227935,"backhand",8475852,0,17
"168438","SHOT",-0.285367789883446,"snap",8475809,0,14
"168440","SHOT",-0.332632409718064,"wrist",8475809,0,14
"168441","SHOT",-0.308036355050218,"wrist",8475809,0,14
"168442","SHOT",-0.36734519029832,"wrist",8475809,0,14
"168446","SHOT",-0.35902679274858,"wrist",8475809,0,14
"168448","GOAL",-0.372155370724242,"slap",8475809,1,14
"168465","SHOT",-0.375707654508876,"wrist",8475809,0,14
"168482","SHOT",-0.363148960744798,"wrist",8475809,0,14
"168483","GOAL",-0.115925089940071,"wrist",8475809,1,14
"168495","SHOT",-0.382695866519051,"wrist",8475852,0,17
"168548","SHOT",-0.376592847878471,"wrist",8480382,0,71
"168554","SHOT",-0.301448045334815,"wrist",8480382,0,71
"168557","SHOT",-0.362611704752331,"slap",8480382,0,71
"168558","SHOT",-0.366781361531041,"slap",8480382,0,71
"168561","SHOT",-0.385603325049526,"wrist",8476412,0,21
"168564","SHOT",-0.386826319471845,"snap",8480382,0,71
